COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
26,NGC_744,132.4,-6.17,11.587,0.38,1207,8.41,5.7,1.9,1.7480000000000002,0.441,9.0,1.7,2.335,0.248,NGC_744
27,Stock_5,130.73,2.6,11.447000000000001,0.4,1100,7.73,,,,,9.5,1.9,2.4130000000000003,0.267,Stock_5
28,Stock_2,133.36,-1.92,8.953,0.34,380,8.17,41.1,2.8,4.383,0.09699999999999999,30.3,2.4,3.987,0.11,Stock_2
29,NGC_869,134.63,-3.72,13.077,0.48,2079,7.28,,,,,162.9,12.6,6.022,0.10800000000000001,NGC_869
30,NGC_884,135.01,-3.6,13.587,0.56,2345,7.1,,,,,191.0,15.0,6.2,0.11,NGC_884
31,NGC_886,132.89,2.69,12.392000000000001,0.4,1700,8.48,,,,,11.7,2.9,2.6319999999999997,0.331,NGC_886
32,Stock_7,134.66,0.09,10.955,0.56,698,7.13,,,,,4.5,1.1,1.4809999999999999,0.32,C_0225+604
33,IC_1805,134.72,0.91,13.392999999999999,0.65,1886,6.73,15.9,2.4,3.0069999999999997,0.2,20.7,4.6,3.3569999999999998,0.292,IC_1805
34,NGC_957,136.28,-2.65,13.898,0.84,1815,6.84,19.8,8.6,3.301,0.564,14.0,3.0,2.8480000000000003,0.28600000000000003,NGC_957
35,Trumpler_2,137.37,-3.97,10.052999999999999,0.32,649,7.93,7.9,1.8,2.205,0.293,10.9,1.6,2.634,0.191,C_0233+557
36,NGC_1039,143.65,-15.62,8.708,0.07,499,8.42,7.5,2.0,2.155,0.349,5.8,0.7,1.827,0.16399999999999998,M_34
37,NGC_1027,135.74,1.55,10.460999999999999,0.33,772,8.55,6.8,1.1,2.011,0.223,7.0,1.1,2.035,0.214,NGC_1027
38,IC_1848,137.19,0.91,13.367,0.6,2002,6.65,25.9,2.9,3.627,0.154,33.7,7.3,3.97,0.285,IC_1848
39,Collinder_33,138.09,1.34,11.24,0.4,1000,8.36,11.8,2.2,2.705,0.244,12.2,2.2,2.748,0.23800000000000002,C_0255+602
40,Trumpler_3,138.01,4.5,8.948,0.22,450,8.34,9.4,4.5,2.455,0.622,7.8,1.2,2.204,0.213,Trumpler_3
41,Stock_23,140.08,2.09,8.705,0.26,380,7.51,,,,,2.8,0.8,0.86,0.39899999999999997,Stock_23
